AT,V,AP,RH,PE
08.01,41.04,1021.06,89.04,478.27
27.29,63.06,1008.03,58.02,439.58
17.01,50.09,1005.53,82.22,457.32
11.49,44.02,1019.19,91.14,475.51
00.09,65.59,1011.25,89.32,440.06
13.51,41.29,1011.03,85.23,472.39
10.04,39.35,1015.01,92.16,480.21
26.05,79.32,1011.23,86.56,435.18
21.59,62.27,1011.18,57.21,446.58
28.38,58.33,1014.32,54.25,438.16
18.08,40.12,1001.24,63.08,459.36
18.28,45.11,1017.39,34.11,462.28
13.55,43.48,1016.08,67.25,464.33
23.39,46.21,1011.11,60.11,444.36
00.34,59.39,1014.32,74.55,439.04
14.14,34.03,1019.09,67.34,470.49
21.03,41.01,1002.26,43.15,455.13
27.54,67.33,1017.06,55.02,450.22
25.21,64.13,1009.34,84.01,440.43
05.37,43.25,1014.02,89.18,483.38
15.22,51.28,1014.19,100.12,460.44
00.28,54.02,1013.21,64.52,445.37
33.01,69.07,1005.02,51.41,434.34
26.38,73.18,1012.28,86.18,440.13
28.18,74.28,1006.29,75.41,434.48
22.07,61.24,1018.33,82.03,442.33
18.07,45.09,1014.26,52.32,458.07
21.37,58.16,1018.08,70.12,455.06
29.09,67.25,1018.11,54.23,432.21
17.01,44.17,1012.25,77.23,458.06
28.31,64.16,1010.27,66.07,435.21
21.37,47.43,1008.04,71.18,448.22
10.08,42.06,1014.19,82.36,475.51
21.01,63.31,1013.24,79.54,446.53
25.45,57.32,1011.07,47.09,441.03
30.16,69.34,1008.07,58.09,433.54
05.39,39.04,1020.45,79.29,472.52
10.51,45.18,1012.59,85.29,475.17
34.19,69.05,1002.02,40.13,435.01
21.34,59.08,1017.32,77.06,451.14
23.04,65.06,1014.32,67.38,442.07
32.21,68.14,1003.34,62.44,426.56
14.26,42.32,1016,77.43,464.11
28.11,67.33,1017.25,59.17,447.06
22.35,58.16,1018.02,68.12,452.27
26.16,64.34,1018.49,42.14,446.18
00.08,68.03,1018.33,84.16,439.05
08.28,41.17,1011.55,90.19,480.15
23.44,62.52,1016.46,67.21,447.19
25.32,48.41,1008.47,72.14,443.04
04.34,39.09,1008.06,97.49,489.21
17.03,58.16,1016.26,88.14,456.15
18.02,49.39,1019.23,96.03,456.26
21.43,47.37,1014.34,61.25,458.08
11.16,40.05,1015.35,88.38,479.11
30.38,74.16,1007.44,75.17,433.24
23.36,62.52,1016.18,68.18,448.37
22.09,47.45,1007.56,77.02,447.06
00.02,49.21,1014.01,49.54,443.53
22.27,61.45,1011.13,92.22,445.21
29.25,66.51,1015.53,34.05,441.07
20.03,67.26,1013.05,64.59,451.33
18.14,50.18,1003.35,100.09,451.44
24.23,57.29,1012.32,68.04,441.29
18.11,45.25,1014.48,49.34,459.25
06.57,44.05,1018.24,74.47,481.46
12.56,43.41,1017.33,81.02,467.19
13.04,41.58,1020.05,71.17,461.54
27.01,53.24,1006.28,54.25,439.08
14.28,43.14,1029.19,71.07,467.22
16.29,44.34,1019.49,59.36,468.08
31.24,72.38,1005.06,57.17,427.33
10.57,38.13,1024.36,70.29,475.05
13.08,44.21,1023.33,83.37,469.37
25.03,71.58,1010.18,87.36,434.37
18.06,50.16,1009.52,100.09,450.53
25.42,59.04,1012.38,69.18,444.51
15.07,41.09,1015.29,71.38,469.03
12.15,71.14,1019.36,76.08,466.56
20.23,52.05,1012.15,47.49,457.57
27.31,59.54,1006.24,72.39,440.13
28.57,70.24,1003.57,66.55,433.24
17.09,44.12,1009.04,75.13,452.55
00.23,71.37,1002.04,65.18,443.29
28.32,75.39,1005.47,75.13,432.16
17.34,45.18,1008.21,56.38,455.37
18.34,63.07,1012.42,94.35,456.07
06.04,39.09,1008.15,86.55,486.03
12.18,40.36,1011.37,83.35,473.19
20.28,57.25,1010.12,88.42,452.03
21.04,54.02,1012.26,86.01,443.41
25.11,67.32,1014.49,58.39,442.33
30.28,71.38,1007.51,74.28,433.04
08.14,36.24,1013.15,88.25,480.25
17.26,40.03,1004.47,83.05,467.08
06.25,40.07,1020.19,65.24,494.39
22.35,54.42,1012.46,75.01,455.12
18.38,57.25,1012.28,84.52,449.11
21.19,42.48,1013.43,80.52,470.16
21.34,45.29,1010.04,75.14,451.11
24.23,59.19,1009.08,76.15,444.01
19.18,58.02,1017.46,77.12,453.02
21.28,58.25,1012.39,85.47,451.27
00.07,64.26,1020.07,58.35,442.13
14.12,39.52,1018.41,78.32,465.09
25.23,65.03,1020.59,52.02,447.28
06.54,39.33,1011.54,94.09,491.16
20.08,62.52,1018.39,76.14,451.38
25.07,63.56,1014.15,67.56,446.03
28.22,80.14,1008.37,69.46,436.48
15.55,42.03,1017.41,74.58,461.24
24.26,69.51,1013.43,53.23,442.56
13.45,41.49,1020.19,89.12,467.03
11.06,41.04,1021.47,96.16,479.13
25.31,52.03,1009.12,68.26,441.15
22.39,59.04,1012.18,86.39,445.52
12.35,41.09,1016.02,85.34,475.04
15.25,41.09,1015.31,73.04,469.03
10.11,42.02,1017.17,98.22,463.57
00.07,69.07,1007.11,77.22,445.32
16.14,44.21,1020.36,80.59,461.03
15.11,43.13,1015.39,47.31,467.14
24.14,60.27,1018.47,58.16,444.04
30.08,67.25,1017.06,53.09,434.01
15.17,44.09,1020.05,84.31,465.23
27.06,69.34,1010.03,71.58,440.06
14.29,45.24,1024.06,93.37,467.14
27.25,75.06,1017.43,74.55,433.48
12.41,41.36,1023.36,79.36,473.59
13.08,42.14,1021.15,64.44,475.21
19.33,44.06,1017.58,68.23,455.15
20.05,50.09,1009.06,71.21,453.34
31.12,69.13,1010.34,62.06,436.23
07.55,39.22,1014.53,78.16,482.19
13.49,44.47,1030.46,69.49,467.06
16.02,40.12,1013.03,96.26,462.59
24.08,65.03,1021.09,56.14,448.22
10.03,42.02,1014.55,96.01,463.13
22.43,63.21,1012.06,85.15,448.38
15.35,39.31,1009.15,75.03,463.12
25.18,58.46,1017.22,67.05,442.42
23.02,48.41,1009.04,81.32,445.09
14.01,39,1017.13,79.23,466.07
19.04,65.03,1020.38,81.01,454.24
30.15,67.32,1014.23,32.08,437.32
07.31,36.08,1022.22,84.31,486.37
29.04,60.07,1015.42,46.15,440.43
26.02,63.07,1011.34,54.36,447.22
06.29,39.48,1005.11,60.23,485.31
26.52,72.04,1008.27,75.03,438.16
28.53,68.08,1013.27,42.53,439.31
16.59,39.54,1008.37,70.58,464.19
23.35,68.19,1010.29,92.09,442.19
00.36,47.43,1008.38,63.55,447.26
17.48,44.02,1019.29,61.51,457.15
07.09,44.05,1020.14,69.55,482.57
10.25,41.26,1007.44,98.08,476.03
29.27,72.58,1009.09,79.34,429.29
12.04,40.23,1018.07,81.28,472.07
22.58,52.03,1009.04,79.39,445.06
15.12,52.05,1015.03,80.38,465.18
25.48,59.35,1017.02,51.16,440.42
28.27,71.19,1004.36,72.17,428.41
00.12,70.47,1011.05,75.39,438.05
25,59.43,1008.24,69.31,438.28
08.42,41.04,1022.35,96.38,476.29
22.46,58.49,1011.05,70.54,448.46
30.32,57.19,1009.02,45.08,439.39
12.08,39.22,1017.09,58.35,471.08
14.04,42.44,1013.14,82.29,472.21
20.26,59.14,1016.12,69.32,450.22
26.39,68.08,1013.13,59.14,442.14
23.42,59.19,1010.14,81.54,441.46
10.06,40.22,1011.37,86.21,478.02
21.37,62.27,1011.45,65.41,447.16
14.14,40.22,1012.46,81.15,472.52
08.56,41.11,1021.27,96.27,471.58
25.26,72.39,1001.15,90.24,441.25
29,77.54,1011.33,75.13,431.37
27.59,72.37,1009.04,88.22,437.33
10.45,41.11,1016.08,81.48,469.22
08.51,41.18,1023.51,90.24,471.11
30.22,66.51,1011.38,43.57,439.17
22.56,62.26,1012.11,63.16,445.33
11.38,39.22,1019.02,57.14,474.11
20.25,58.16,1016.28,78.16,453.06
22.42,59.43,1007.12,90.56,441.39
15.25,39.31,1014.48,61.38,467.42
26.02,59.22,1010.02,70.31,444.14
20.25,56.53,1020.57,74.05,457.17
14.07,54.03,1016.32,75.42,468.27
24.39,71.12,1010.18,82.25,442.04
16.07,44.58,1019.52,68.35,471.36
11.06,39.01,1010.21,100.09,460.07
31.38,71.23,1010.35,47.28,431.33
30.31,77.26,998.59,72.41,432.06
20.07,59.39,1014.07,78.07,448.01
27.18,65.19,1016.27,63.07,444.27
21.39,52.03,1009.02,80.17,447.27
10.45,41.01,1020.57,94.24,466.14
19.46,57.29,1014.02,85.35,448.26
23.55,63.36,1020.16,70.16,448.05
23.35,63.47,1012.18,84.24,438.27
09.26,42.06,1017.27,73.32,483.51
10.03,41.46,1018.21,86.17,480.05
21.34,58.16,1017.28,65.43,455.16
23.13,71.25,1002.49,94.59,432.31
13.17,41.05,1014.13,86.08,471.08
28.29,69.13,1009.29,58.18,429.28
19.13,59.21,1018.32,90.06,451.21
24.44,73.05,1011.49,87.39,438.13
20.32,44.06,1015.16,36.35,460.21
20.54,69.05,1001.06,80.02,443.26
12.16,45,1021.51,50.52,483.39
28.09,65.27,1013.27,52.36,440
09.25,42.22,1033.25,75.13,478.48
22.15,50.22,1015.01,78.33,455.28
23.07,66.56,1002.07,85.19,437.34
16.22,38.27,1022.36,83.13,461.06
25.15,69.45,1014.37,53.49,438.28
10.48,39.58,1012.21,89.26,473.01
29.53,71.19,1003.07,61.29,427.25
12.59,40.12,1018.16,61.14,470.18
23.05,54.42,1012.31,68.29,455.38
29.01,66.56,1006.44,58.02,428.32
10.15,42.49,1010.57,84.03,480.35
19.55,56.53,1020.02,78.01,455.56
21.05,58.33,1013.14,66.34,448.06
25.12,69.07,1007.14,79.02,443.06
21.19,59.26,1014.19,69.36,452.43
11.17,41.54,1020.34,71.13,478.21
29.08,74.17,1005.12,87.01,432.06
30.27,74.31,1004.53,74.03,431.08
23.39,69.07,1007.05,78.02,447.07
25.06,60.29,1018,59.56,445.26
33.03,70.29,1014.25,42.06,426.12
31.38,72.29,1009.13,73.27,430.58
00.27,60.27,1019.34,77.16,440.26
25.06,59.15,1013.31,67.02,441.11
28.02,71.14,1011.06,52.08,435.12
30.01,67.45,1014.23,39.04,434.01
12.19,41.17,1019.43,65.47,476.04
13.11,41.58,1020.43,74.32,460.44
28.29,69.07,1005.46,69.22,436.04
13.45,41.13,1018.07,94.28,461.03
11.38,41.54,1020.34,70.23,479.08
26.48,69.14,1009.31,84.11,436.16
13.07,45.51,1015.22,79.05,460.14
25.56,75.06,1017.37,69.31,442.02
23.08,51.18,1009.23,70.03,448.09
29.26,74.07,1007.05,68.23,431.15
22.07,63.56,1014.32,72.16,445
28.29,73.21,1001.32,86.28,431.59
14.18,44.47,1028.34,71.09,467.22
28.14,51.43,1012.16,53.07,445.33
11.08,45.09,1013.21,90.08,470.57
11.11,40.01,1019.12,74.06,474.17
24.54,60.29,1017.42,59.34,448.07
11.54,40.05,1015.18,87.05,474.29
29.47,71.32,1008.07,67,437.14
29.24,69.05,1003.12,43.18,432.56
14.51,42.19,1010.12,81.02,459.14
23.31,60.07,1016.03,60.12,446.19
27.02,72.17,1006.38,72.01,428.01
13.49,44.47,1030.18,69.15,468.46
30.24,67.15,1018.35,56.06,435.02
23.19,48.06,1002.38,61.19,445.52
18.13,40.55,1003.36,75.02,463.09
19.02,61.27,1019.26,73.35,456.15
13.25,40,1016.29,69.25,464.14
32.33,70.08,1012.35,40.29,440.19
25.09,59.35,1017.39,53.16,443.26
29.45,69.13,1009.03,53.37,432.04
17.31,44.36,1013.32,80.27,466.26
14.09,46.27,1009.05,84.09,465.06
11.13,25.36,1009.35,100.15,469.43
23.02,49.03,1003.04,80.17,441.15
08.21,39.31,1016.22,89.39,481.32
09.03,40.56,1023.04,76.14,480.27
17.37,39.16,1005.07,69.13,458.59
00.09,72.37,1010.02,93.03,439.02
25.13,59.44,1012.38,78.32,445.59
10.26,43.56,1015.13,75.29,482.27
11.33,41.05,1013.58,88.07,475.01
27.35,48.41,1008.53,63.34,436.54
15,41.06,1016.28,90.02,457.03
21.16,62.52,1016.03,81.04,452.09
14.29,39.59,1011.33,94.53,463.04
20.14,68.11,1008.08,64.02,446.01
27.08,60.32,1010.34,70.57,439.07
14.24,41.04,1019.07,70.32,467.28
22.38,48.41,1008.42,85.26,444.06
23.15,59.39,1015.04,81.41,440.26
08.34,41.36,1023.28,89.45,484.32
11.08,41.02,1017.18,83.11,475.19
09.21,45.08,1023.06,94.33,479.24
30.05,74.08,1015.35,70.06,435.32
16.01,65.46,1014,88.08,454.16
22.15,59.19,1012.42,87.58,447.58
14.34,41.26,1022.07,74.04,467.09
29.25,69.13,1010.27,67.35,426.29
22.33,46.27,1007.08,64.01,447.02
16.43,42.19,1005.47,77.29,456.25
11.05,40.22,1010.31,78.08,476.46
23.53,69.34,1007.53,69.17,437.48
22.26,49.21,1015.01,53.31,453.17
06.17,39.33,1012.57,93.32,491.54
30.19,65.19,1017.22,42.47,438.41
12.07,42.33,1020.21,82.58,476.01
15.34,37.39,1008.27,94.59,464.58
11.05,41.18,1024.31,86.31,468.14
25.53,57.17,1010,72.57,442.12
21.27,57.05,1014.53,81.16,453.34
28.37,69.13,1010.44,72.33,425.29
28.39,51.43,1012.14,47.54,450.03
14.18,46.18,1025.27,96.12,463.28
14.06,42.32,1016.11,77.03,465.07
05.01,35.57,1027.17,80.49,490.36
7,38.08,1020.27,78.07,482.38
26.03,78.35,1009.45,79.12,438.35
30.56,72.38,1005.14,59.17,429.02
21.09,47.03,1013.03,74.08,453.34
28.21,70.02,1010.58,51.34,442.47
16.24,50.09,1015.14,90.41,462.06
10.03,41.36,1024.57,91.01,479.19
20.37,52.05,1012.34,62.57,456.11
21.19,50.16,1006.21,84.27,450.33
34.13,70.28,1007.21,43.33,435.23
30.27,74.08,1015.01,41.36,433.43
20.02,63.36,1021.16,76.53,456.02
10.33,41.07,1018.08,70.14,485.23
09.43,37.14,1013.03,75.39,473.57
14.24,39.58,1011.17,70.45,470.34
13.37,50.23,1009.09,91.49,452.07
07.06,41.04,1022.22,89.37,475.32
08.39,36.24,1013.39,89.13,481.09
25.41,48.06,1013.12,46.52,444.01
18.43,56.03,1020.41,60.55,465.17
10.31,40.22,1013.27,89.11,481.01
11.29,41.05,1013.39,89.15,476.04
23.01,49.03,1003.51,83.02,442.16
29.34,72.38,1005.19,75.19,428.24
19.27,68.11,1004,87.35,445.17
13.21,46.27,1008.58,86.06,463.01
11.03,44.06,1018.19,92.06,470.05
29.23,73.39,1007.04,63.47,431
28.16,69.04,1004.27,72.25,431.08
29.26,67.17,1006.06,70.58,436.42
26.12,50.22,1016.19,60.01,452.33
23.43,64.34,1011.04,89.29,440.16
25.06,64.16,1010.18,67.43,436.15
22.03,44.57,1008.48,67.58,450.14
28.31,72.24,1011.14,70.08,431.13
30.35,77.17,1009.55,64.02,433.15
22.18,47.43,1008.28,67.08,447.19
07.19,41.39,1018.12,91.16,486.35
21.28,59.08,1016.06,75.34,453.18
24.19,50.23,1016.13,60.17,458.31
10.38,41.54,1019.07,81.19,480.26
23.47,51.03,1012.29,74.01,449.05
26.35,49.05,1013.07,41.34,458.41
30.29,65.09,1006.37,59.18,435.39
19.29,50.16,1010.49,98.18,450.21
17.48,43.14,1019.08,75.25,459.59
25.21,75.06,1017.19,70.24,446.24
23.03,49.18,1018.17,75.36,441.08
15.42,38.25,1010.29,85.08,467.33
21.44,63.09,1016.56,90.11,444.19
29.45,68.27,1008.36,62.03,433.36
30.09,48.33,1003.25,45.16,438.09
15.52,37.39,1007.26,89.07,467.09
11.47,44.07,1013.08,72.51,476.12
10.17,35.09,1028.12,75.38,477.51
22.06,70.24,1006.37,79.59,435.13
08.24,40.01,1018.39,78.42,477.09
17.01,44.02,1019.18,61.23,457.26
20.04,44.06,1016.28,47.56,467.53
11.01,41.58,1021.08,93.06,465.15
12.04,40.01,1014.42,90.05,474.28
29.19,66.11,1014.25,50.05,444.49
22.15,45.09,1014.15,45.24,453.24
00.06,77.54,1008.05,85.32,435.38
27.05,75.33,1004.28,83.34,433.57
30.03,70.11,1009.04,67.26,435.27
18.02,40.03,1005.35,79.05,468.49
32.22,70.08,1009.09,62.03,433.07
27.28,73.56,1005.25,94.36,431.03
29.05,66.14,1013.29,60.02,441.14
08.09,40.36,1026.31,95.46,474.49
19.33,48.06,1006.12,85.32,450.14
27.49,64.16,1010.09,62.08,437.13
23.01,71.19,1006.53,91.21,434.58
11.22,43.13,1017.24,80.09,474.33
32.37,80.14,1007.03,56.24,436.39
13.32,43.22,1009.45,75.03,467.23
32.08,68.24,1005.29,37.34,427.22
00.09,64.17,1013.39,79.05,444.07
14.23,41.49,1020.11,87.29,469.57
18.32,66.51,1015.18,81.05,460.29
11.05,41.11,1025.31,76.42,479.59
22.03,65.09,1007.21,76.15,441.32
10.23,41.46,1020.45,85.35,481.27
00.32,66.54,1010.33,62.37,441.09
29.38,70.08,1011.35,49.25,430.02
17.35,43.26,1015.02,74.16,465.16
10.21,44.45,1021.19,90.55,471.32
05.37,41.04,1021.31,94.28,485.43
05.15,40.07,1012.27,63.31,495.35
21.54,58.49,1011.25,78.09,449.12
08.34,42.02,1006.22,91.37,480.53
19.17,51.06,1015.29,87.34,457.07
22.09,70.34,1010.07,80.08,444.07
10.07,45.08,1023.44,91.35,477.52
14.23,40.04,1012.52,70.37,473.35
10.45,40.09,1004.32,89.45,472.54
11.56,41.11,1016.25,76.08,469.17
00.04,70.04,1011.09,83.35,435.21
10.48,40.22,1005.21,92.16,478.18
13.09,40.25,1013.26,58.42,476.29
11.07,40.23,1018.15,85.06,483.09
12.57,39.16,1016.53,89.31,476.02
14.45,43.34,1015.47,83.33,462.16
14.22,38.25,1011.24,88.49,471.05
07.37,41.26,1010.06,97.28,485.11
21.01,64.26,1015.43,74.26,446.34
15.07,42.28,1007.21,65.17,469.02
29.06,73.26,1004.23,69.41,432.12
14.38,40.01,1015.51,81.23,467.28
32.51,70.38,1013.29,54.07,430.06
12.19,45.09,1013.16,89.17,469.49
09.05,40.56,1023.23,79.25,486.27
10.15,41.21,1026,84.44,482.35
09.11,40.02,1031.01,83.02,479.03
23.39,69.13,1011.39,91.06,434.05
14.03,54.03,1015.16,75.29,464.09
17.49,64.34,1020.02,82.06,453.11
31.01,69.51,1011.24,45.04,430.14
20.17,57.05,1021.07,66.33,457.09
29.01,72.29,1012.01,45.33,447.17
13.52,41.48,1014.46,67.12,461.16
13.52,41.23,1008.31,84.14,472.35
17.57,46.21,1014.09,81.21,453.29
28.18,60.07,1016.34,49.13,442.01
14.29,46.18,1017.01,87.29,465.13
18.12,44.09,1017.31,53.35,465.08
31.27,74.31,1004.12,69.32,430.59
26.24,78.35,1014.19,85.21,438.01
07.44,41.04,1022.24,88.56,479.08
30.18,75.18,1009.28,55.09,436.39
23.37,65.46,1016.25,49.04,447.07
11.02,39.58,1011.09,88.25,480.31
06.24,43.02,1014.28,87.42,489.05
14.51,54.22,1016.46,63.15,463.17
11.31,42.02,1001.18,95.26,471.26
11.25,41.07,1012.04,63.54,480.49
09.18,39.42,1025.41,69.46,474.18
20.22,58.16,1017.16,75.06,455.05
25.17,58.41,1014.18,80.57,446.27
10.06,41.06,1021.21,84.07,482.02
22.36,59.08,1017.12,72.06,452.48
18.59,43.14,1012.32,53.03,464.48
25.15,70.29,1015.29,82.01,438.01
24.37,63.47,1013.17,75.22,445.06
29.06,68.19,1010.37,51.05,442.43
25.32,61.25,1011.56,80.01,437.07
16.15,42.25,1016.54,81.58,466.56
16.14,71.14,1020.05,66.34,457.29
06.37,36.25,1030.05,87.14,487.03
16.24,53.12,1026.45,62.57,465.33
15.24,45.03,1019.28,57.37,466
12.25,49.19,1017.44,89.31,469.52
27.38,70.04,1011.18,72.26,429.28
09.16,41.48,1018.49,75.38,474.03
15.54,39.31,1010.09,71.19,461.06
19.11,39.39,1014.09,63.22,465.57
13.06,42.18,1012.03,55.31,468.07
13.12,41.11,1016.02,71.57,467.39
20.23,39.39,1014.13,59.16,464.12
27.23,49.16,1004.03,40.08,444.18
24.27,68.28,1005.43,68.03,445.23
11.08,41.06,1017.13,97.02,464.43
07.16,36.25,1028.31,91.16,484.36
26.39,63.07,1012.05,65.21,442.16
16.03,40.03,1005.04,86.01,464.11
16.05,49.39,1018.35,93.42,462.48
10.59,42.49,1009.59,77.36,477.49
26.05,65.59,1013.18,67.03,437.04
19.05,41.19,1003.08,89.45,457.09
22.21,45.01,1012.22,55.24,450.06
18.26,45,1023.25,53.48,466.18
30.36,70.04,1010.15,54.47,427.01
19.08,45.03,1020.14,43.36,460.21
23.59,47.43,1007.04,49.32,447.36
03.38,40.04,1011,81.22,489.32
26.39,66.49,1013.36,60.35,433.36
09.39,39.04,1022.39,76.38,483.35
11.31,41.04,1026.57,74.24,469.53
13.08,40.22,1012.27,85.21,477.36
00.35,58.46,1017.05,68.46,441.15
16.04,44.11,1024.51,78.31,462.55
19.18,54.02,1012.05,89.25,448.04
21.05,50.59,1016.22,68.57,455.24
05.36,40.07,1011.08,67.38,495.15
23.51,57.32,1012.55,53.06,444.58
06.39,36.19,1011.56,92.09,485.22
00.05,66.05,1019.06,78.21,442.09
05.17,39.33,1010.08,94.19,485.46
26.38,49.05,1013.22,37.19,458.21
06.02,44.05,1014.25,83.53,482.32
23.02,61.02,1010.03,79.45,443.23
08.57,40.09,1001.31,99.09,474.29
31.12,71.58,1010.38,50.39,430.46
21.52,51.06,1013.56,74.33,456.11
23.33,62.26,1011.25,84.06,438.34
06.11,41.31,1003.24,89.48,486.23
19.02,44.06,1018.16,64.59,453.22
28.28,69.34,1008.08,76.08,435.04
22.32,59.08,1017.22,64.18,451.21
14.55,43.14,1028.41,70.09,466.21
18.23,45.32,1025.04,70.58,458.42
10.08,40.36,1026.09,99.28,470.22
19.41,49.39,1021.24,82.29,449.24
13.22,45.32,1024.24,88.39,471.43
12.24,45.32,1024.14,88.21,473.26
19.21,58.49,1011.07,91.29,453.22
30.14,70.32,1008.01,53.12,433.09
23.28,61.24,1018.31,67.05,444.13
08.02,42.32,1029.08,92.05,467.21
22.47,48.06,1002.33,63.23,446.38
27.51,74.17,1002.42,91.28,437.31
17.51,44.09,1009.05,75.31,455.01
23.22,66.56,1002.47,85.39,437.11
12.13,41.04,1021.08,97.38,477.06
21.19,68.11,1007.05,56.28,442.11
05.48,40.07,1020.03,66.02,496.16
24.26,66.44,1011.33,55.32,446.03
12.32,42.02,1013.28,89.28,465.12
31.26,69.34,1006.34,39.49,438.03
32.09,73.26,1003.47,54.59,435.18
25.38,60.32,1016.03,57.19,445.07
27.48,61.41,1012.02,45.06,452.24
21.04,45.09,1014.19,41.02,451.32
28.15,70.04,1007.05,90.21,436.53
23.19,72.17,1006.15,91.31,435.53
24.22,68.51,1013.23,75.36,440.01
27.06,64.45,1009.12,54.21,443.01
29.25,72.34,1007.18,64.02,427.49
27.26,68.08,1013.39,50.04,436.25
30.04,68.19,1010.39,51.23,441.14
20.32,63.31,1015.02,83.11,443.54
18.05,51.43,1011.22,92.04,459.42
00.11,60.23,1010.16,91.07,440.06
14.39,45.24,1023.55,91.14,464.15
19.03,57.05,1020.55,70.43,459.01
25.05,52.36,1015.16,67.03,456.08
13.05,45.51,1015.33,87.35,469.08
10.22,41.26,1008.11,97.09,478.02
18.04,44.06,1017.36,71.28,456.08
28.12,45.29,1009.18,47.14,441.13
17.15,44.09,1017.05,63.36,464.28
31.09,74.07,1006.14,60.58,430.45
29.22,66.11,1014.24,54.03,449.18
21.03,49.32,1011.32,65.09,448.29
30.58,70.04,1010.04,48.16,431.59
